fclty_id|fclty_nm|tmp_lcls_10s_belo_male_co|tmp_lcls_10s_male_co|tmp_lcls_20s_male_co|tmp_lcls_30s_male_co|tmp_lcls_40s_male_co|tmp_lcls_50s_male_co|tmp_lcls_60s_above_male_co|tmp_lcls_10s_belo_female_co|tmp_lcls_10s_female_co|tmp_lcls_20s_female_co|tmp_lcls_30s_female_co|tmp_lcls_40s_female_co|tmp_lcls_50s_female_co|tmp_lcls_60s_above_female_co|lcls_all_total_co|tmp_otsd_10s_belo_male_co|tmp_otsd_10s_male_co|tmp_otsd_20s_male_co|tmp_otsd_30s_male_co|tmp_otsd_40s_male_co|tmp_otsd_50s_male_co|tmp_otsd_60s_above_male_co|tmp_otsd_10s_belo_female_co|tmp_otsd_10s_female_co|tmp_otsd_20s_female_co|tmp_otsd_30s_female_co|tmp_otsd_40s_female_co|tmp_otsd_50s_female_co|tmp_otsd_60s_above_female_co|otsd_all_total_co|tmp_frnr_all_total_co
PS1|서울공연예술연습공간|20|64|556|272|310|231|96|20|92|935|295|165|147|138|3341|179|222|1758|568|480|366|173|31|491|3790|988|386|176|91|9699|38
PS17|아르코예술기록원|48|29|38|36|44|29|34|41|23|19|50|31|75|28|525|41|42|32|31|27|41|33|47|20|21|28|16|66|34|479|36
PS10|청주공연예술연습공간|40|136|1562|429|493|387|430|32|257|679|148|178|339|413|5523|34|219|857|129|218|271|118|37|112|330|177|106|165|47|2820|49
PS11|아르코예술인력개발원|39|238|514|705|611|773|829|44|405|817|474|661|591|556|7257|31|196|358|548|523|786|710|47|266|384|393|467|490|304|5503|27
PS12|전주공연예술연습공간|137|1292|2132|2951|3463|4339|3296|502|1339|2025|2477|3928|3701|2861|34443|103|804|1087|1158|1944|1622|1468|256|335|819|995|869|899|1047|13406|31
PS13|춘천공연예술연습공간|37|30|625|168|276|158|415|43|251|454|277|142|92|537|3505|20|40|176|28|44|39|57|32|50|221|55|56|29|37|884|32
PS14|세종공연예술연습공간|301|2364|4174|4170|3374|4124|4208|336|2083|3056|2695|4078|4829|4472|44264|167|487|1419|1594|1156|1355|1092|99|865|1525|612|840|1022|1175|13408|13
PS15|창원공연예술연습공간|29|380|400|501|796|581|548|162|674|332|875|650|796|592|7316|30|116|165|212|149|88|251|87|103|189|252|155|90|165|2052|44
PS18|강진공연예술연습공간|33|120|53|27|29|98|58|31|45|33|35|46|44|160|812|31|37|147|65|259|103|72|32|92|106|80|123|125|98|1370|47
PS19|금정공연예술연습공간|29|49|118|133|316|300|122|33|424|132|77|125|94|164|2116|24|12|214|72|117|71|54|38|171|54|34|125|83|48|1117|35
PS2|서천공연예술연습공간|37|83|142|61|163|198|304|29|29|35|105|118|338|189|1831|30|27|72|29|51|201|37|29|36|24|54|37|49|38|714|38
PS5|부산공연예술연습공간|19|79|155|181|321|327|442|76|88|91|183|235|336|460|2993|21|26|26|35|104|50|70|38|28|24|58|74|95|39|688|27
PS20|광주공연예술연습공간|50|171|175|490|507|418|307|52|146|297|296|567|248|237|3961|39|30|97|124|208|96|79|26|35|96|76|74|81|153|1214|28
PS9|부천공연예술연습공간|104|433|1227|1597|1498|1300|1670|111|395|1005|1513|1211|1987|1585|15636|57|102|385|519|367|774|179|60|195|203|218|185|451|348|4043|41
PS22|인천공연예술연습공간|242|764|1793|1992|1599|1878|1883|105|720|2174|1740|1646|1994|2359|20889|40|191|1289|1080|815|548|859|102|179|492|551|439|800|623|8008|26
PS3|울산공연예술연습공간|77|1052|1384|1754|1415|1274|1743|185|949|1478|1749|2057|2248|2395|19760|35|213|753|293|468|388|417|83|323|270|266|593|464|383|4949|39
PS4|예술가의집|65|94|681|575|564|315|398|34|133|1161|644|418|226|267|5575|67|327|1390|1330|1000|471|415|27|502|2555|1092|811|343|494|10824|47
