fclty_id|fclty_nm|area_addr|city_do_cd|ctprvn_nm|signgu_cd|signgu_nm|adstrd_cd|adstrd_nm|la|lo
PS1|서울공연예술연습공간|서울특별시 종로구 대학로 10길 17|11|서울특별시|11010|종로구|1101064|이화동|37.5820457|127.00318970000001
PS10|청주공연예술연습공간|충청북도 청주시 청원구 상당로 314|33|충청북도|33044|청주시 청원구|3304454|내덕2동|36.65620139999999|127.492379
PS11|아르코예술인력개발원|경기도 고양시 일산동구 성현로513번길 10|31|경기도|31103|고양시 일산동구|3110360|고봉동|37.6970555|126.83981229999999
PS12|전주공연예술연습공간|전라북도 전주시 덕진구 여암 1길 19|35|전라북도|35012|전주시 덕진구|3501271|여의동|35.871058500000004|127.07450970000001
PS13|춘천공연예술연습공간|강원도 춘천시 삭주로 3|32|강원도|32010|춘천시|3201052|교동|37.882612|127.7331162
PS14|세종공연예술연습공간|세종특별자치시 조치원읍 죽림리 79|29|세종특별자치시|29010|세종특별자치시|2901011|조치원읍|36.59391420000001|127.2944006
PS15|창원공연예술연습공간|경상남도 창원시 마산회원구 삼호로 136|38|경상남도|38114|창원시 마산회원구|3811456|양덕1동|35.2257176|128.5771934
PS17|아르코예술기록원|서울 서초구 서초동 710-1|11|서울특별시|11220|서초구|1122051|서초1동|37.480596500000004|127.01448799999999
PS18|강진공연예술연습공간|전라남도 강진군 대구면 청자로 1335|36|전라남도|36390|강진군|3639033|대구면|34.5362429|126.79481940000001
PS19|금정공연예술연습공간|부산 금정구 구서동 481|21|부산광역시|21110|금정구|2111069|구서1동|35.246062200000004|129.09430020000002
PS2|서천공연예술연습공간|충청남도 서천군 장항읍 성화로 26-2|34|충청남도|34340|서천군|3434011|장항읍|36.0166527|126.68455
PS20|광주공연예술연습공간|광주광역시 광산구 소촌로85번길 14-9|24|광주광역시|24050|광산구|2405056|어룡동|35.1526301|126.79123490000002
PS22|인천공연예술연습공간|인천광역시 미추홀구 도화동 620-24|23|인천광역시|23090|미추홀구|2309062|도화1동|37.46423720000001|126.6669377
PS3|울산공연예술연습공간|울산광역시 남구 거마로 134번길 20|26|울산광역시|26020|남구|2602051|신정1동|35.5381213|129.30437460000002
PS4|예술가의집|서울특별시 종로구 동숭길 3|11|서울특별시|11010|종로구|1101064|이화동|37.580540899999995|127.0032407
PS5|부산공연예술연습공간|부산광역시 남구 우암로 84-1|21|부산광역시|21070|남구|2107062|감만1동|35.1184228|129.0814376
PS6|대구공연예술연습공간|대구광역시 남구 명덕로 42|22|대구광역시|22040|남구|2204056|대명1동|35.8592829|128.57557350000002
PS7|포항공연예술연습공간|경상북도 포항시 북구 중앙로 373|37|경상북도|37012|포항시 북구|3701267|중앙동|36.0459667|129.3642744
PS8|원주공연예술연습공간|강원 원주시 명륜동 138|32|강원도|32020|원주시|3202054|명륜1동|37.3411134|127.9502682
PS9|부천공연예술연습공간|경기도 부천시 부일로 365|31|경기도|31050|부천시|3105089|중동|37.488203000000006|126.77046670000001
AC56|구리아트홀|경기도 구리시 아차산로 453|31|경기도|31120|구리시|3112053|인창동|37.595616|127.129851
AC179|의령군민문화회관|경상남도 의령군 의령읍 의병로24길 31-1|38|경상남도|38310|의령군|3831011|의령읍|35.317759|128.264795
AC180|창녕문화예술회관|경상남도 창녕군 창녕읍 우포2로 1189-25|38|경상남도|38330|창녕군|3833011|창녕읍|35.54443|128.490326
AC181|하동문화예술회관|경상남도 하동군 하동읍 섬진강대로 2222|38|경상남도|38360|하동군|3836011|하동읍|35.072412|127.74113700000001
AC182|함안문화예술회관|경상남도 함안군 가야읍 함안대로 619-1|38|경상남도|38320|함안군|3832011|가야읍|35.283337|128.401362
AC183|함양군문화예술회관|경상남도 함양군 함양읍 필봉산길 55|38|경상남도|38380|함양군|3838011|함양읍|35.524304|127.72243799999998
AC184|합천군문화예술회관|경상남도 합천군 합천읍 황강체육공원로 93|38|경상남도|38400|합천군|3840011|합천읍|35.564803000000005|128.170491
AC186|광주광역시서구문화센터|광주광역시 서구 마재로 3(금호동)|24|광주광역시|24020|서구|2402068|금호1동|35.130835999999995|126.860258
AC187|빛고을시민문화관|광주광역시 남구 천변좌로 338번길 7|24|광주광역시|24030|남구|2403054|사직동|35.148269|126.908324
AC189|광산문화예술회관|광주광역시 광산로68번길 13(송정동)|24|광주광역시|24050|광산구|2405051|송정1동|35.139557|126.793672
AC190|국립아시아문화전당|광주광역시 동구 문화전당로 38|24|광주광역시|24010|동구|2401064|서남동|35.147329|126.920002
AC191|예울마루|전라남도 여수시 예울마루로 100 (시전동 1003)|36|전라남도|36020|여수시|3602066|시전동|34.750617999999996|127.66539399999999
AC192|남도소리울림터|전남 무안군 삼향읍 남악로 222 남도소리울림터|36|전라남도|36420|무안군|3642013|삼향읍|34.804988|126.46290400000001
AC193|강진군아트홀|전라남도 강진군 강진읍 영랑로1길 9|36|전라남도|36390|강진군|3639011|강진읍|34.638177|126.77048300000001
AC194|고흥문화회관|전남 고흥군 고흥읍 호형리 991|36|전라남도|36350|고흥군|3635011|고흥읍|34.604852|127.27625400000001
AC195|곡성레저문화센터|전라남도 곡성군 곡성읍 곡성로855|36|전라남도|36320|곡성군|3632011|곡성읍|35.281285|127.298658
AC196|광양문화예술회관|전라남도 광양시 광양읍 향교길 9-30|36|전라남도|36060|광양시|3606011|광양읍|34.980246|127.58746599999999
AC197|구례문화예술회관|전라남도 구례군 구례읍 양정2길 11|36|전라남도|36330|구례군|3633011|구례읍|35.206994|127.47138700000001
AC198|나주문화예술회관|전라남도 나주시 예향로 4137|36|전라남도|36040|나주시|3604051|송월동|35.022406|126.712327
AC200|목포시문화예술회관|전라남도 목포시 남농로 102|36|전라남도|36010|목포시|3601070|용해동|34.791942999999996|126.41841399999998
AC188|광주문화예술회관|광주광역시 북구 북문대로 60|24|광주광역시|24040|북구|2404058|운암1동|35.177726|126.88158200000001
AC199|담양문화회관|전라남도 담양군 담양읍 지침6길 29|36|전라남도|36310|담양군|3631011|담양읍|35.316353|126.985404
AC201|무안승달문화예술회관|전라남도 무안군 무안읍 창포로 8|36|전라남도|36420|무안군|3642011|무안읍|34.990334000000004|126.47202
AC202|보성군문화예술회관|전라남도 보성군 보성읍 송재로 281-9|36|전라남도|36360|보성군|3636011|보성읍|34.778027|127.088356
AC204|여수시민회관|전라남도 여수시 좌수영로 69 (광무동 42-19) |36|전라남도|36020|여수시|3602055|광림동|34.746969|127.727903
AC205|영광예술의전당|전라남도 영광군 영광읍 천년로13길 2-34|36|전라남도|36440|영광군|3644011|영광읍|35.272337|126.508342
