userid,areaid,rating
1,16,3
1,17,3
1,18,2
1,19,0
1,20,1
1,21,3
1,22,0
1,23,0
1,24,3
1,25,0
1,26,4
1,27,1
1,28,4
1,29,1
1,30,5
1,31,2
1,32,5
1,33,4
1,34,3
1,35,1
1,36,4
1,37,2
1,38,2
1,39,2
1,40,1
1,41,0
1,42,0
1,43,4
1,44,1
1,45,0
1,46,4
1,47,4
1,48,0
1,49,4
1,50,4
1,52,3
1,53,0
1,54,1
1,55,0
1,56,0
2,0,3
2,1,0
2,2,2
2,3,2
2,5,0
2,7,5
2,8,2
2,9,0
2,10,2
2,11,5
2,12,3
2,13,3
2,14,4
2,15,5
2,16,1
2,17,1
2,18,4
2,19,2
2,20,5
2,21,5
2,22,5
2,23,2
2,24,5
2,25,3
2,26,3
2,27,5
2,28,1
2,29,5
2,30,1
2,31,5
2,32,4
2,33,4
2,34,3
2,35,5
2,36,2
2,37,1
2,38,0
2,39,1
2,40,5
2,41,1
2,42,3
2,43,1
2,44,3
2,46,4
2,48,5
2,50,4
2,52,0
2,54,0
2,56,2
3,1,1
3,3,4
3,5,4
3,6,0
3,8,3
3,9,2
3,11,3
3,13,1
3,15,2
3,17,4
3,18,1
3,19,3
3,20,1
3,21,3
3,22,4
3,23,4
3,24,2
3,25,5
3,26,1
3,27,5
3,28,1
3,29,5
3,30,1
3,31,2
3,32,1
3,33,1
3,34,1
3,35,5
3,36,0
3,37,1
3,38,5
3,40,3
3,41,3
3,42,4
3,43,5
3,44,5
3,45,2
3,46,5
3,47,2
3,48,5
3,49,3
3,50,2
3,51,0
3,52,1
3,53,5
3,54,3
3,55,5
3,56,0
4,0,3
4,1,3
4,3,0
4,4,0
4,5,0
4,7,4
4,8,3
4,9,0
4,10,5
4,11,4
4,12,1
4,13,0
4,14,5
4,16,1
4,17,0
4,18,5
4,19,4
4,20,0
4,21,1
4,22,4
4,23,2
4,24,3
4,25,3
4,26,1
4,27,2
4,28,4
4,29,1
4,30,1
