event_nm,tme_dc,event_bgn_de,event_end_de,auspc_instt_nm,opmt_place_nm,event_dc
2017 SF연극제,2회,2017-01-17,2017-02-26,소극장 혜화당,소극장 혜화당,"대학로에서 쉽게 접해보기 어려운 SF 소재 연극들이 소극장혜화당의 SF연극페스티벌 ‘2017SF연극제’에서 공연됐다. 올해 두 번째를 맞이하는 연극제는 쉽게 접하기 어려웠고 주목받지 못했던 SF장르를 선보이며, 연극인들의 끊임없는 도전 정신을 보여주었다. 올해 연극제는 지난해 보다 2주 추가돼 더욱 탄탄한 ‘라인업’을 선보였다."
경기공연예술페스타2017,,2017-01-18,2017-01-21,"경기문화재단,구리아트홀",구리아트홀,경기지역 17개 문예회관과 공연장 상주단체가 참여한 이번공연은 파트너십을 통해 그동안 축적된 성과와 의미를 나누고 공연장과 상주단체간 교류의 장을 마련해 새로운 공연 유통과 보급을 위한 축제형 아트마켓의 표본이 되었다. '특별초청공연'과 상주단체 레퍼토리와 신작으로 구성된 '베스트 컬렉션'을 비롯하여 '공연 중매프로젝트'와 시민이 함께 즐길 수 있는 '시민참여프로그램'등 풍성하고 다채롭게 꾸며졌다.
2017 안양국제무용페스티벌,,2017-01-21,2017-01-21,"안양시, 중국DTM CHINA",안양아트센터 관악홀,"안양시와 중국 허난성 무용단체인 DTM 차이나가 공동주최한 이번 페스티벌은 20일 국제 무용 콩쿠르, 21일 시상식과 개막식, 콩쿠르 우수작 갈라 공연과 해외초청공연으로 꾸며졌다. 국제 무용 콩쿠르에서는 발레, 현대무용, 한국무용, 실용무용(K-POP, 비보이 등) 각 부문의 경연이 펼쳐졌다. 무용수에게는 한국과 중국 참가자 별로 대상(안양시장상)부터 동상까지 수여됐으며, 총 9명의 안무가에게는 국회의원상이 수여됐다."
제3회 인천프렌즈페스티발,3회,2017-01-25,2017-02-13,인천연극협회,문학시어터,
G-1년 올림픽 페스티벌,,2017-02-09,2017-02-19,,올림픽 개최지 일원,"지(G)-1년 기념 문화 대향연의 첫 문을 여는 문화예술행사는 ‘지(G)-365일 평창동계올림픽 성공 기원 음악회’로서, 서울 예술의전당에서 2월 7일(화) 개최됐다. 세계적인 첼리스트 정명화, 바이올리니스트 정경화, 한국 성악의 자존심 홍혜경, 한국을 대표하는 명창 안숙선 등 세계적 반열에 있는 우리 음악인들이 함께했다."
제6회 한울림골목연극제,6회,2017-02-11,2017-03-02,극단 한울림,한울림소극장,"6개 작품이 무대에 오르는 이번 연극제에는 지역 연극인뿐만 아니라 부산, 광주 극단도 참가해 번역극, 창작극 등 다양한 장르의 작품을 무대에 올렸다."
2017 평창겨울음악제,,2017-02-15,2017-02-19," 문화체육관광부, 강원도",알펜시아 콘서트홀&용평드래곤밸리호텔 그랜드볼룸 ,"동계올림픽 1년을 앞두고 두 번째로 열리는 이번 겨울음악제는 콘서트홀에서 클래식 4회, 재즈 6회 공연으로 마련된다. 강릉 올림픽파크 특설무대에서는 2018평창동계올림페스티벌과도 연계한 재즈 공연을 펼친다. 15일 오프닝공연에는 첼리스트 정명화와 명창 안숙선이 한 무대에 올라 판소리와 클래식이 어우러진 무대를 선보인다. 2017년 그래미상 후보에 오른 재즈피아니스트 존 비즐리의 솔로와, 다이나믹한 연주로 유튜브에서 폭발적 인기를 얻은 앤더슨 앤 로 피아노듀오의 공연까지 다채로운 무대가 마련된다. "
제1회 미밋동산 평화예술제,1회,2017-02-17,2017-03-01,"(사)제주문화예술공동체,민족문제연구소 제주지부","제주항일기념관,간드락소극장 등 제주도 일원","가향국악원의 전병규 대금연주자가 국악과 현대 음악의 조화를 주제로 공연을 선보였다. 검은모래로 그려보는 제주의 여성독립운동가 김시숙, 마임이스트 이경식 공연, 무용·소리·연주가 어우러진 나무꽃, 오카리나 연주, 장애인들과 기타 연주 합동 공연, 백록예술단의 해녀항쟁가 시낭송이 진행됐다."
2017 안동공연예술축제 APAF,,2017-02-24,2017-04-29,안동문화예술의전당,안동문화예술의전당,"안동문화예술의전당에서 지역문화예술 10개 단체가 2월 24일부터 4월 29일까지 2017 안동공연예술축제(APAF, Andong Performing Arts Festival)를 진행했다."
청춘아트페스타,,2017-03-01,2017-03-26,청춘아트페스타 운영위원회,떼아뜨로 중구,"대구의 젊은 연극인들이 주축이 된 축제 ‘제1회 대구 청춘아트페스타’가 소극장 떼아뜨로중구(대구 중구 종로2가)에서 펼쳐졌다. 연극, 마임 등의 분야에서 활동해온 지역 20~30대 연극인과 예술에 관심이 많은 일반인이 축제에 참여하였으며, 축제 기간 선보인 작품은 모두 창작극이다."
