no,rgs_de,area_lc,ty,genre_cl,ticket_se,dscnt_rt,pblprfr_nm,adhrnc_nm,prfplc_pd,prfplc_nm,viewng_grad_dc
1,2011-05-17,서울,공연,연극,무료티켓,100%,3월의 눈_앵콜공연(객석나눔),(재)국립극단,2011-05-20~2011-06-05,백성희장민호극장,만8세이상 관람가
2,2011-05-17,서울,공연,발레/무용,무료티켓,100%,2011 한팩 솔로이스트(객석나눔),(재)한국공연예술센터,2011-06-10~2011-06-18,아르코예술극장 대극장,만7세이상 관람가
3,2011-05-17,서울,공연,연극,무료티켓,100%,아놀드 웨스커의 키친(객석나눔),(재)국립극단,2011-05-20~2011-06-12,명동예술극장,만13세이상 관람가
4,2011-05-17,서울,공연,연극,할인티켓,60%,아놀드 웨스커의 키친,(재)국립극단,2011-05-20~2011-06-12,명동예술극장,만13세이상 관람가
5,2011-05-17,서울,공연,발레/무용,할인티켓,60%,2011 한팩 솔로이스트,(재)한국공연예술센터,2011-06-10~2011-06-18,아르코예술극장 대극장,만7세이상 관람가
6,2011-05-17,서울,공연,연극,할인티켓,60%,3월의 눈_앵콜공연,(재)국립극단,2011-05-20~2011-06-05,백성희장민호극장,만8세이상 관람가
7,2011-05-18,서울,공연,연극,무료티켓,100%,"여기, 사람이 있다(객석나눔)",드림플레이,2011-05-24~2011-05-27,대학로 연우 소극장,14세이상 관람가
8,2011-05-18,서울,공연,뮤지컬,무료티켓,100%,뮤지컬 나를부르다(객석나눔),The OnS,2011-05-20~2011-05-29,르메이에르 씨어터(대학로),8세 이상
9,2011-05-18,서울,공연,연극,무료티켓,100%,서양식당 마이웨이(객석나눔),극단 신낭만스테이션84,2011-05-24~2011-06-05,대학로 선돌극장,만 8세이상
10,2011-05-18,서울,공연,국악,무료티켓,100%,국악콘서트 다담,국립국악원,2011-05-25~2011-10-26,국립국악원 우면당,취학 아동 이상 관람가
11,2011-05-18,서울,공연,연극,무료티켓,100%,연극 보고싶습니다(객석나눔),The OnS,2011-05-20~2011-08-28,바다씨어터,12세 이상
12,2011-05-18,서울,공연,연극,할인티켓,60%,"여기, 사람이 있다",드림플레이,2011-05-24~2011-06-03,대학로 연우 소극장,14세이상 관람가
13,2011-05-18,서울,공연,연극,할인티켓,60%,연극 보고싶습니다,The OnS,2011-05-20~2011-08-28,바다씨어터,12세 이상
14,2011-05-18,서울,공연,연극,할인티켓,60%,연극 프렌즈,벚꽃나무,2011-05-20~2011-10-31,극장 아시조,10세 이상
15,2011-05-18,서울,공연,연극,할인티켓,60%,연극 대디,벚꽃나무,2011-06-27~2012-01-31,극장 아시조,만 10세이상
16,2011-05-18,서울,공연,연극,할인티켓,60%,예술하는 습관,명동예술극장,2011-06-22~2011-07-10,명동예술극장,15세이상 관람가
17,2011-05-18,서울,공연,뮤지컬,할인티켓,60%,뮤지컬 나를부르다,The OnS,2011-05-20~2011-05-29,르메이에르 씨어터(대학로),8세 이상
18,2011-05-18,서울,공연,연극,할인티켓,60%,드라마 만들기,구(주)애드벤치소리아트홀,2011-05-20~2012-02-26,대학로 소리아트홀 3관,8세이상 관람가
19,2011-05-18,서울,공연,연극,할인티켓,60%,코믹쇼 로미오&줄리엣 시즌2,구(주)애드벤치소리아트홀,2011-05-20~2012-06-30,대학로 소리아트홀 1관,8세이상 관람가
20,2011-05-18,부산,공연,뮤지컬,할인티켓,60%,언제는 행복하지 않은 순간이 있었나요,동그라미 그리기,2011-08-30~2011-10-03,부산 SM아트홀 2관(구 사랑과 혁명 소극장),7세 이상 관람가
21,2011-05-18,서울,공연,연극,할인티켓,60%,대학로 코믹 감동 폭소 연극 배고파4,극단 불꽃,2011-05-20~2012-09-30,대학로 마당세실,12세이상
22,2011-05-18,서울,공연,아동극,할인티켓,60%,떼이루 떼이루 따,숙명한국음악원,2011-06-01~2011-06-05,성동문화회관 소월아트홀,4세이상 관람가
23,2011-05-18,부산,공연,연극,할인티켓,60%,공포호러연극 두 여자,동그라미 그리기,2011-06-01~2011-08-28,부산SM아트홀 1관(구 두드림 소극장),15세 이상 관람가
24,2011-05-18,서울,공연,연극,할인티켓,60%,대학로 코믹 사랑 로맨틱 연극 배고파5,극단 불꽃,2011-05-20~2012-09-30,대학로 단막극장,12세이상
25,2011-05-18,서울,공연,연극,할인티켓,60%,대학로 코믹 행복 드라마 연극 배고파6,극단 불꽃,2011-05-20~2012-09-30,대학로 배고파씨어터,12세이상
26,2011-05-18,부산,공연,연극,할인티켓,60%,신의 아그네스,(주)월드쇼마켓,2011-05-27~2011-07-31,AN아트홀.Red,12세 이상 관람
27,2011-05-18,서울,공연,연극,할인티켓,60%,서양식당 마이웨이,극단 신낭만스테이션84,2011-05-24~2011-06-05,대학로 선돌극장,만 8세이상
28,2011-05-18,서울,공연,연극,할인티켓,60%,완득이 10차,극단 김동수컴퍼니,2011-05-20~2011-06-26,대학로 김동수플레이하우스 ,전연령층
29,2011-05-18,서울,공연,연극,할인티켓,60%,연극 룸넘버13,휴먼컴퍼니,2011-05-20~2012-02-29,대학로 극장 <가자>,만 12세 이상 관람가
30,2011-05-19,서울,공연,아동극,무료티켓,100%,떼이루 떼이루 따(객석나눔),숙명한국음악원,2011-06-01~2011-06-05,성동문화회관 소월아트홀,4세이상 관람가
31,2011-05-19,서울,공연,연극,무료티켓,100%,두 여자(객석나눔),공연예술집단 노는이,2011-05-20~2011-08-28,라이프 씨어터,15세 이상
